40010343	1
40010367	1
40010375	1
40010336	2
40010387	2
50000061	2
40010361	3
40010393	3
40010325	4
40010384	5
40010312	9
40010373	10
40010247	13
40010364	13
40010374	17
40010311	18
40010286	29
40010650	29
40010643	31
50000074	38
40010222	40
10070013	53
40010381	75
40010531	85
10070001	98
40010259	121
40010344	171
40010260	180
40010383	262
40010198	354
40010388	374
50000043	430
40010368	554
40010240	572
40010371	598
40010195	651
40010149	702
50000075	756
40010304	871
40010642	889
30020009	967
30040005	1196
40010316	1196
40010618	1266
40010145	1353
40010280	1408
40010252	1435
40010227	1624
40010201	1644
40010203	1699
40010323	1794
40010104	2007
40010504	2014
40010617	2031
40010392	2161
40010570	2173
40010036	2458
50000136	2603
40010614	2688
40010483	3094
40010218	3233
40010215	3513
40010169	3521
40010248	3774
30020006	3830
40010221	4007
40010332	4091
40010277	4261
40010398	4317
40010147	4499
40010196	4744
40010623	4761
40010305	4820
40010278	5011
40010204	5143
30020017	5146
40010370	5754
40010281	5899
40010081	6029
40010407	6084
40010285	6615
40010231	6796
40010633	7466
40010366	7497
40010076	7857
40010613	7933
40010063	8129
40010084	8344
40010197	8785
50000035	8977
40010175	9938
40010220	10104
40010315	10480
40010173	10597
40010410	10610
40010243	10881
40010194	10973
40010313	11676
10060002	11709
50000140	12333
40010310	12423
40010409	12569
40010309	12961
50000010	12973
30020013	13357
40010534	13391
40010190	13973
50000040	14186
40010306	14614
40010385	14720
40010219	15821
40010340	15877
50000072	16851
40010189	16924
40010321	17760
40010386	17924
40010244	18198
40010645	18302
90000005	18409
40010282	19294
40010363	20291
40010345	20376
40010202	20752
40010035	20883
40010360	20924
40010296	21773
50000023	22180
40010646	22480
40010630	23217
40010647	24107
40010264	24225
40010329	25652
40010075	25906
30020012	26738
40010224	26791
30020008	26813
40010335	26981
30020004	26995
10040004	27221
40010274	27658
40010200	28343
50000011	29433
40010249	29874
50000024	30303
40010327	31225
40010627	31255
50000028	31649
40010330	32271
50000060	32715
40010648	33704
40010334	34450
40010612	34865
40010308	35023
50000004	35485
40010102	36801
40010341	37605
40010635	38552
40010150	40597
40010223	41070
40010322	41336
40010406	44219
50000036	44382
40010634	45020
50000070	45619
50000130	46794
40010625	46996
40010217	48018
50000042	48328
40010616	48484
40010068	48582
40010632	50703
40010297	51113
40010187	52369
40010404	53175
40010283	54165
40010213	54397
40010519	56081
40010397	58605
10070015	58798
40010192	61758
10070014	62198
10030010	62424
50000101	67483
40010186	67535
40010435	67912
40010516	68485
40010546	68886
40010615	71494
40010069	71855
40010143	72725
40010214	75320
40010216	82784
30020011	83015
50000001	83201
40010649	83791
40010212	84787
40010477	87116
40010230	89552
40010279	91517
40010591	91606
40010298	92003
